Time,Temperature,Humidity,Vbat
1704574261,20.31,52.21,2999
1704576062,20.89,54.49,2987
1704577864,21,55.94,2974
1704579665,20.93,56.34,2953
1704581466,20.95,56.69,2941
1704583267,20.91,56.98,2932
1704585068,20.92,56.65,2921
1704586830,20.31,52.39,2925
1704588626,19.95,55.31,2946
1704590432,19.92,58.32,2969
1704592228,19.83,60.21,2993
1704594034,19.63,61,3015
1704595835,19.55,62,3021
1704597636,19.49,62.78,3021
1704599437,19.5,64.11,3020
1704601233,19.56,65.13,3020
1704603040,19.51,65.48,3019
1704604841,19.39,65.62,3019
1704606642,19.32,65.92,3019
1704608438,19.26,66.26,3018
1704610239,19.14,66.51,3018
1704612045,19.07,66.81,3017
1704613841,19.04,67.17,3015
1704615647,19.05,67.42,3013
1704617448,19.02,67.51,3012
1704619250,17.63,58.42,3008
1704621046,17.97,56.49,2995
1704622852,19.74,56.64,2992
1704624648,20.04,57.62,2981
1704626454,20.08,58.17,2978
1704628255,20.1,58.62,2987
1704630056,20.1,58.76,2992
1704631858,20.06,59.22,3000
1704633659,20.05,59.28,3007
1704635460,19.9,60.31,3011
1704637256,19.94,58.33,3012
1704639057,20.04,57.46,3012
1704640858,20.05,56.89,3012
1704642614,19.92,53.91,3011
1704644415,20.98,53.49,3002
1704646217,21.19,52.16,2991
1704648018,19.87,48.07,2981
1704649814,20.42,50.78,2973
1704651620,20.73,52.01,2966
1704653421,20.77,52.34,2962
1704655222,20.67,52.56,2956
1704657023,20.38,50.01,2938
1704658824,20.93,51.64,2923
1704660626,20.96,52.91,2902
1704662427,20.87,53.99,2889
1704664228,20.91,54.63,2885
1704666029,21.03,55.01,2887
1704667830,20.99,53.35,2890
1704669631,20.73,51.47,2885
1704671427,15.77,42.37,2891
1704673185,17.54,44.57,2912
1704674986,20.25,47.28,2940
1704676792,20.59,50.29,2976
1704678593,20.5,51.96,3001
1704680394,20.25,53.53,3009
1704682195,19.93,54.87,3009
1704683996,19.62,55.87,3008
1704685793,19.47,57.55,3004
1704687594,19.31,58.33,3002
1704689400,19.26,59.41,3001
1704691201,19.18,60.03,2999
1704693002,19.06,60.4,2998
1704694803,19.02,61.15,2998
1704696604,19.24,61.31,3000
1704698400,19.19,61.98,3001
1704700202,19.04,62.29,3005
1704702008,18.91,62.64,3008
1704703804,18.86,62.87,3008
1704705610,18.75,61.91,3007
1704707411,17.79,51.13,2999
1704709207,17.74,46.12,2991
1704711013,18.59,44.5,2980
1704712814,19.82,47.64,2967
1704714616,19.92,50.07,2964
1704716417,19.83,51.98,2965
1704718218,19.73,54.1,2967
1704720019,19.77,54.75,2974
1704721815,18.88,49.35,2972
1704723616,19.67,47.71,2956
1704725422,20.13,48.59,2951
1704727170,20.14,50.35,2952
1704728971,20.02,50.95,2952
1704730768,19.9,52.04,2966
1704732574,19.86,53.92,2974
1704734375,19.8,55.2,2973
1704736171,19.8,56.04,2973
1704737973,19.84,56.58,2973
1704739774,19.9,53.41,2973
1704741575,19.7,54.9,2973
1704743381,19.67,55.89,2973
1704745182,19.46,55.9,2973
1704746983,19.26,56.08,2971
1704748784,19.27,54.04,2969
1704750585,19.51,48.87,2965
1704752364,21.11,50.96,2956
1704754165,21.25,50.92,2957
1704755966,21.12,52.67,2959
1704757762,21.05,53.71,2965
1704759568,20.88,54.37,2976
1704761369,20.35,55.46,2976
1704763170,19.9,56.42,2966
1704764971,19.64,57.51,2952
1704766772,19.59,57.91,2944
1704768574,19.5,58.43,2943
1704770375,19.3,59.48,2944
1704772176,19.14,60.06,2958
1704773977,19.1,60.44,2956
1704775778,19.02,60.79,2944
1704777579,18.88,61.17,2925
1704779380,18.74,61.56,2915
1704781181,18.95,61.72,2914
1704782978,19.14,61.52,2919
1704784784,18.98,61.78,2936
1704786585,18.76,62.44,2942
1704788386,18.62,62.33,2942
1704790187,17.4,50.37,2939
1704791988,14.47,42.07,2939
1704793789,16.61,45.64,2938
1704795591,18.73,48.69,2943
1704797392,18.9,50.74,2956
1704799193,18.82,52.32,2967
1704800933,18.83,52.93,2976
1704802734,19.02,52.52,2979
1704804535,19.83,53.42,2979
1704806331,20.53,53.04,2983
1704808138,20.21,51.01,2991
1704809939,18.92,45.82,2996
1704811740,19.31,49.26,3002
1704813541,19.3,51.67,3006
1704815342,19.2,53.07,3004
1704817143,19.29,53.99,3005
1704818944,20.51,53.52,3002
1704820745,20.59,54.23,3000
1704822547,20.88,54.53,2998
1704824348,21.45,54.06,2984
1704826149,21.23,52.37,2978
1704827950,19.6,45.25,2967
1704829751,18.34,40,2942
1704831528,19.05,41.44,2920
1704833325,19.23,39.93,2904
1704835131,19.9,43.17,2894
1704836932,19.94,45.64,2907
1704838728,19.84,47.55,2931
1704840534,19.84,49.22,2953
1704842330,20.03,50.31,2969
1704844136,20.59,49.75,2977
1704845937,20.04,47.58,2983
1704847739,19.59,49.62,2986
1704849535,19.28,51.95,2987
1704851341,19.09,53.58,2981
1704853142,18.9,54.1,2963
1704854943,18.7,54.86,2946
1704856744,18.63,55.71,2939
