Time,Temperature,Humidity,Vbat
1727642549,21.33,53.87,2844
1727644351,21.26,53.41,2844
1727646153,21.54,54.54,2843
1727647955,21.72,55.57,2844
1727649758,21.41,57.9,2845
1727651560,21.5,59.09,2846
1727653362,21.55,59.37,2846
1727655165,21.47,59.88,2846
1727656967,21.41,60.31,2846
1727658769,21.34,60.66,2845
1727660571,21.31,61.4,2844
1727662374,21.29,62.21,2844
1727664176,21.27,62.58,2843
1727665978,21.25,62.93,2843
1727667780,21.23,63.34,2843
1727669583,21.22,63.58,2841
1727671382,21.21,63.64,2841
1727673187,21.19,63.68,2841
1727674989,21.17,63.94,2841
1727676792,21.17,64.15,2841
1727678594,21.18,63.99,2842
1727680396,21.07,62.97,2843
1727682198,21.09,63.13,2843
1727684000,20.96,63.12,2843
1727685803,20.79,63.42,2842
1727687602,20.79,63.1,2841
1727689407,20.81,63.01,2840
1727691209,20.86,63.35,2839
1727693012,21.17,63.67,2840
1727694814,21.25,63.96,2842
1727696616,21.32,63.74,2844
1727698416,21.42,63.55,2844
1727700221,21.56,63.91,2844
1727702023,21.67,63.87,2843
1727703823,21.74,63.32,2843
1727705627,21.92,62.79,2843
1727707430,22.05,62.38,2844
1727709232,22.17,62.08,2845
1727711034,22.24,61.89,2845
1727712834,22.25,61.88,2846
1727714639,22.26,61.86,2846
1727716441,22.25,61.88,2846
1727718243,22.22,62.02,2846
1727720043,22.18,62.12,2846
1727721848,22.15,62.29,2847
1727723650,22.11,62.72,2848
1727725452,22.05,62.84,2848
1727727255,22.03,63.2,2847
1727729057,21.91,62.62,2844
1727730859,21.57,61.63,2845
1727732661,21.46,61.6,2845
1727734464,21.16,61.84,2844
1727736266,21.64,62.59,2843
1727738068,21.7,62.97,2843
1727739868,21.7,63.49,2844
1727741673,21.74,64.09,2843
1727743475,21.77,64.38,2844
1727745277,21.78,64.9,2844
1727747080,21.83,65.17,2844
1727748882,21.8,65.38,2844
1727750684,21.78,65.85,2844
1727752486,21.78,66.12,2844
1727754286,21.76,66.12,2845
1727756091,21.73,66.17,2845
1727757893,21.74,66.52,2844
1727759695,21.73,66.78,2843
1727761498,21.71,66.88,2843
1727763300,21.7,67.09,2844
1727765102,21.62,66.38,2844
1727766904,21.65,65.97,2843
1727768707,21.6,66.21,2843
1727770509,21.49,66.19,2842
1727772311,21.45,67.02,2842
1727774113,21.41,66.55,2841
1727775916,21.4,66.23,2841
1727777718,21.42,66.81,2842
1727779520,21.44,66.84,2842
1727781322,21.47,66.73,2842
1727783124,21.5,66.42,2842
1727784927,21.51,66.22,2841
1727786729,21.56,65.87,2841
1727788531,21.6,65.64,2840
1727790334,21.62,65.46,2840
1727792136,21.6,65.26,2842
1727793938,21.59,65.01,2843
1727795740,21.56,64.96,2842
1727797543,21.55,65.11,2841
1727799345,21.54,65.22,2841
1727801147,21.5,65.29,2840
1727802949,21.47,65.42,2841
1727804751,21.45,65.48,2841
1727806554,21.41,65.43,2840
1727808356,21.39,65.63,2839
1727810158,21.36,65.91,2839
1727811961,21.47,66.39,2839
1727813763,21.79,65.67,2840
1727815565,21.8,65.72,2841
1727817367,21.6,66.4,2842
1727819170,21.78,66.19,2842
1727820969,21.88,65.98,2842
1727822774,21.9,66.16,2841
1727824577,21.75,66.41,2841
1727826379,21.71,66.5,2842
1727828181,21.69,66.94,2842
1727829983,21.69,67.47,2842
1727831785,21.68,67.62,2842
1727833588,21.66,67.94,2841
1727835390,21.67,68.35,2841
1727837192,21.67,68.16,2841
1727838994,21.62,68.75,2841
1727840797,21.6,69.11,2842
1727842596,21.57,69.28,2842
1727844401,21.52,69.45,2841
1727846203,21.5,69.69,2840
1727848006,21.49,69.84,2840
1727849805,21.44,69.84,2840
1727851610,21.43,69.88,2842
1727853410,21.4,69.82,2842
1727855215,21.37,69.84,2841
1727857017,21.35,69.89,2841
1727858819,21.39,69.87,2841
1727860621,21.91,68.56,2842
1727862421,21.82,67.98,2842
1727864226,21.7,67.85,2843
1727866028,21.47,65.48,2843
1727867830,21.33,62.89,2842
1727869633,21.69,64.04,2842
1727871435,21.84,64.77,2842
1727873237,21.97,64.87,2842
1727875039,21.89,64.88,2842
1727876839,21.83,64.96,2843
1727878644,21.8,65.15,2842
1727880444,21.74,65.28,2842
1727882248,21.7,65.38,2842
1727884051,21.67,65.55,2842
1727885850,21.63,65.56,2841
1727887655,21.6,65.61,2840
1727889457,21.57,65.55,2840
1727891260,21.53,65.43,2840
1727893062,21.49,65.11,2841
1727894864,21.13,60.64,2841
1727896666,20.69,59.03,2839
1727898466,20.32,58.71,2838
1727900271,20.08,59.04,2836
1727902073,20.11,59.78,2833
1727903876,20.83,61.37,2833
1727905678,21.35,61.09,2835
1727907480,21.57,61.09,2839
1727909283,21.55,62.32,2841
1727911082,21.35,64.63,2841
1727912887,21.22,64.78,2840
1727914687,21.18,65.06,2840
1727916491,21.14,65.82,2839
1727918291,21.11,66.35,2837
1727920096,21.08,66.88,2836
1727921898,21.04,67.68,2837
1727923700,21,68.19,2837
1727925502,20.95,68.36,2838
1727927305,20.92,68.53,2838
1727929107,20.91,68.8,2838
1727930909,20.89,68.92,2838
1727932711,20.87,68.94,2838
1727934514,20.85,69.17,2837
1727936316,20.8,69.2,2838
1727938118,20.77,69.21,2838
1727939918,20.75,69.13,2837
1727941723,20.73,69.07,2836
1727943525,20.67,68.07,2836
1727945327,20.69,67.59,2836
1727947130,21.16,67.02,2836
1727948932,21.44,66.07,2838
1727950734,21.41,65.75,2839
1727952536,21.28,65.87,2839
1727954339,21.21,65.87,2838
1727956141,21.15,65.9,2838
1727957943,21.15,65.83,2838
1727959743,21.09,65.41,2838
1727961547,21.03,65.81,2837
1727963347,21.04,65.85,2836
1727965152,21.1,65.89,2835
1727966954,21.09,65,2836
1727968756,21.1,65.33,2837
1727970556,21.1,65.41,2838
